,tweets
164,another win 4 @kagutamuseveni #ugandadecides https://t.co/x9kxubdivd
165,", that's protection lynching besigye taking back cell m7z declared winner #ugandadecides"
166,@nbstv provisional result #sevo runaway leader . . . i'm listening runaway love | #ludacris #ugandadecides
167,here's peaceful election ! stay safe #ugandadecides
168,@miss__rizzy @bwesigye @kizzabesigye1 @nbstv getting result ? quite misleading . #ipledgepeaceug #ugandadecides
169,@rukwengye @belindak_ thats #mabreezy #ugandadecides
170,#nbstv garbage . . . yes said . . . garbage . . . know u working . . . naye yungwe wamwe ajja genda . . . #ugandadecides #wesigebesigye
171,"ooh , didn't notice . ð ? ¸ ð ? ? #ugandadecides https://t.co/x207euu0tr"
172,"nakasongola result though . . . anyway , twende kazi . . . #ugandadecides"
173,current leader poll . tight race 1 . yoweri 32 % 2 . kaguta 28 % 3 . museveni 28 % 4 . rest 12 % #ugandadecides
174,"@nbstv give weird provisional result reporter go silent . @sadabkitatta1 guy , come prove #ugandadecides"
175,finished district besigye @nbstv posting provisional . m7 swept . #ugandadecides
176,wonder mabirizi looking coz hearing every polling station < 1 vote # ugandadecides # ipledgeforpeace
177,u . . military propping uganda ? ? ? ? ? ? elected ? ? ? autocrat ? https://t.co/vtn2m7eoqq #ugandadecides
178,uganda ? ? ? election big moment democracy africa #ugandadecides https://t.co/wnb5zm80jv https://t.co/xxgh86inbr
179,nb tv finally showing true color - yellow pig #ugandadecides
180,mabreezy heart ð ? ¸ ð ø  ð ? ¸ ð ø  #ugandadecides
181,it's national wine day another country vpn take virtually . let get wine #ugandadecides
182,@ucc_official directed @mtnug disable social medium due public safety #ugandadecides @bbcafrica @ajenglish @foxnews
183,closest contest mbabazi mabirizi . . neck neck #ugandadecides
184,shall catch tally central region . ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? #ugandadecides
185,"#ugandadecides "" kenya uganda , don't announce winner announce officially . thank . "" ~ yoweri museveni"
186,@cceduganda @sudhirntv @fhri2 @okhutsayopo @rosebellk @goslinoj @snduhukire @winnie_byanyima thought home . #ugandadecides
187,kampala opposition stronghold . voting deliberately delayed election team r partial . #ugandadecides @eaukot
188,missed : #ugandadecides : facebook whatsapp blocked https://t.co/wzh65abn2c #233livenews
189,"#ugandadecides dominion church , mpererwe polling station m7 - 483, kb - 1033"
190,"m7 support area , we'll scrutinize win carefully . . #ugandadecides #besigyewon https://t.co/somonesybe"
191,"constant update #ugandadecides , subscribe telegram channel : https://t.co/a1fcrkqmom don't miss anything"
192,#ugandadecides besigye storm suspected museveni election rigging center regime official's tip https://t.co/yxsgdbeiiy via @sharethis
193,#ugandadecides life really difficult without social medium . #ucc unfairly done without warning
194,election turn every ordinary citizen hacker sort ! #vpn #ugandadecides
195,full video : kizza besigye arrested ( warning : violent scene blood ) https://t.co/wotgrhvymr via @youtube #ugandadecides
196,"@snamso follow back , ? #peacefirst #ugandadecides https://t.co/k2zcxqo7ix"
197,"remember picfare book multiplication table , well ammama's result 1 * 1 column ! #ugandadecides"
198,@cnnafrica #ugandadecides proof picture way uploading ballot box weren't cealed
199,@ugandaec plus shouldn't candidate rigged election disqualified ? like cheating exam #ugandadecides
200,great job @acme_uganda #ugandadecides #musevenidecides ? https://t.co/xs8iqyxwta
201,bwaise yiga's parking ( a-m ) besigye 405 museveni 113 #ugandadecides
202,#transparency report shld become norm isps #uganda globally #ugandadecides #information https://t.co/w2xzlfxwf5
203,1.75 % vote ? ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? waaahhhhhh #ugandadecides
204,home polling besigye halved museveni's & trading centre like rwentuha besigye #ugandadecides
205,@t_crystal @witosg @andsjeff ( l-nay ) longest line . . . . came stop nay . . . . . abt naz :-/ #ugandadecides
206,polling station . . . . fe abana blue #ugandadecides https://t.co/jsuqyq6sza
207,new word : disenfranchise #ugandadecides
208,"honestly , amama mbabazi ugandan . can't believe . #ugandadecides"
209,", idea initial tally ! #ugandadecides . @bwesigye https://t.co/ukqbdqgsie"
210,heard ec apologize late delivery voting material part kampala surrounding area . caused ? #ugandadecides
211,""" accuse ug electoral commission many thing would grossly unfair accuse competence . "" - jdk #ugandadecides"
212,@mkbernz lol . . . . . #ugandadecides https://t.co/fhkipdpnwh
213,mabreezy also tally centre ? #ugandadecides
214,keep calm . . wait saturday final tally . . . #ugandadecides
215,main takeaway #ugandadecides far : incredible irrelevant mbabazi today . #nrm powerhouse .
216,wish objected . equal law ? say #inequality #ugandadecides https://t.co/52qtawkthn
217,"@ucc_official @ugandaec use social medium , right also sue . lol #ugandadecides"
218,@bazanye protocol president arrives late #vpn #ugandadecides
219,nb hmm always sounded like nrm #ugandadecides
220,home igara east bushenyi report coming first time museveni beating besigye fewer vote ever seen ! #ugandadecides
221,thought @ugandaec announce ? #ugandadecides https://t.co/rad3olwcbg
222,#uganda brother cant access social medium . govt . stopped usage social medium election . #citizensengage #ugandadecides
223,people already worried sick . #ugandadecides
224,look like jpam's result base two #ugandadecides
225,delay . ballot sent area support opposition . dispersal crowd . democracy ? #ugandadecides
226,love way @nbstv delivered election period . take award best medium house #ugandadecides
227,waiting hear pastor uganda say . #ugandadecides cc @robertkayanja @jessicakayanja
228,friend gone witness vote counting . great job ! #ugandadecides
229,@serudav ec think . #ugandadecides
230,happening ! #ugandadecides #ugandaelections #besigyewon https://t.co/hk42ph2spj
231,"@nbstv hosted shaka tell u hand tied , host tell u computing result ? #ugandadecides"
232,"#ugandadecides election day : delay , social medium blackout , bessigye arrested released https://t.co/nlxro7l2w1 https://t.co/lmw5qatvty"
233,man mabirizi came second besigye . also touched leopard's * * * * ! #ugandadecides #ugdecides https://t.co/okvxyu5huu
234,one branch dictotar gone . #goodbyekahindaotafiire . bos following #ugandadecides
235,even cleaning track . meta data cleared feed . ehh nga today learnt lot @ucc_official #ugandadecides
236,haha swear counting vote need translated #ugandadecides @ougasam @mariat987 @pyepar @ntvuganda https://t.co/5cdrgokppd
237,busoga change . . . finally east arriving . . . iganga nalo #ugandadecides
238,"one expect @yoweri_museveni became democratic 30 year power , let people choice #ugandadecides ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ?"
239,"@nitakatushabe @sebsronnie @richardzulu guess , that's price politics #ugandadecides turn $ $ $ u'll shocked !"
240,#ugandadecides wa ba sa ( wb television ) airing musici moment - guess ekigunda got go mater becomes president
241,president museveni ban social medium #ugandadecides ; opposition candidate mbabazi share way get around https://t.co/knpr2il8c7
242,@nbstv see . approve ! #ugandadecides
243,@nbstv disappointed . . . announcing area sevo ? #ugandadecides
244,@kizzabesigye1 trending like pope uganda decides museveni announced #ugandadecides
245,vote counting kabale western uganda thats stronghold museveni #ugandadecides #ugandaelections https://t.co/szrfxyra5k
246,"60 % ? teargas canister vote ? smh ! unfortunately , ec hacked #ugandadecides https://t.co/u5mb60r5rm"
247,throw jail lot #ugandadecides https://t.co/cwura9zogo
248,ever nb getting provisional result . . . . hmmm surely unrealistic #ugandadecides
249,rural area ? #ugandadecides https://t.co/zsjxduvtq2
250,opposition leader arrested uganda hold election @ajenews https://t.co/qxnuabbcce #ugandadecides
251,moment mistake mbabazi's result ple result #ugandadecides #ugandaelections
252,feel @nbstv feeding u wrong fuckin result . ð ? ¸ ð ? ? #ugandadecides
253,taking break #ugandadecides acknowledge tweet . . . ð ? ¸ ð ?  pope different ! https://t.co/fgdwxliql6
254,retweeted sudhir byaruhanga ( @sudhirntv ) : #ugandadecides police sorrounded imperial royal hotel fdc . . . https://t.co/8w0l1z1qpd
255,@lmwesigwa lol ! ? ? „ #ugandadecides https://t.co/tmhzrbztzu
256,retweeted emmanuel wabwire ( @wabwire1 ) : thought 2016 presidencial election #ugandadecides . . . https://t.co/ysbo7tgjww
