,tweets
11487,provisional result #ugandadecides trickling @rosebellk & @933kfm tweeting
11488,. @usmissionuganda please talk besigye arrest . . . #ugandadecides
11489,breaking : uganda opposition leader kizza besigye arrested #ugandadecides . . . https://t.co/ewhhqfqz91
11490,"#love what's happening #ugandadecides . . . . besigye x2 , museveni x2 , besigye , museveni . . . hoping candidate reported duty !"
11491,pledge peace . . . . . . #ugandadecides
11492,#ugandadecides despite #socialmedia block 2016 #elections - https://t.co/dyrqjbjqh6
11493,"domestic election observation ug , @cdoten ? #ugandadecides"
11494,basigye arrested #ugandadecides turned #musevenidecides ð ? ¸ ð ? ¥ ð ? ¸ ð ? ¥ ð ? ¸ ð  ?
11495,"unblock twitter , facebook , whatsapp uganda vpn - https://t.co/nupvkb85g6 #ugandadecides"
11496,i'm starting get annoyed . least free besigye start acting like normal human being #ugandadecides #ugandaelections
11497,qns : working tomorrow #ugandadecides https://t.co/i5cgzkzge2
11498,"wat twitter account electral commission , whereas getting update ? #ugandadecides"
11499,result u see trickling force u take double take . . . ehhh ! ! #ugandadecides #bantubakowu https://t.co/6hdxwokfo3
11500,#ugandadecides voted https://t.co/19nr0g0mp9
11501,"report uganda indicate tight race yoweri , kaguta museveni . #ugandadecides"
11502,caught another rigging scam still lose election ? #ugandadecides
11503,apparently rely @newvisionwire scanty live report . #ugandadecides https://t.co/yjis2xmcqx
11504,"5 / 5 : far , government @kagutamuseveni attacked citizen tear gas protest unfairness free , fair #ugandadecides"
11505,kizza besigye arrested . . . alleging vote rigging . #ugandadecides #musevenidecides
11506,"u . . propping uganda's "" elected "" autocrat ? latest #ugandadecides @tymccormick : https://t.co/z2owacstoy"
11507,@gnakate getting result ? trying find failing . #ugandadecides
11508,ec extends voting polling station : nicholas wassajja e . . . https://t.co/rkuksu52xn #ugandadecides
11509,"accept fact presented , hearsay ! #peacefirst #ugandadecides https://t.co/n6gmxn9avj"
11510,"relax flo , started . * adjusts collar * . lol #ugandadecides https://t.co/tlltjwbmhh"
11511,. . . call upon u calm breath . much one take ? #ugandadecides https://t.co/obucsetbd8
11512,"usa ambassodor uganda criticizes museveni's gov't blocking social medium saying "" sends wrong message "" #ugandadecides"
11513,covered . shall transmitting result released ec real time https://t.co/1mcltundnp #ugandadecides
11514,message think trying send ? think sent exact message meant ! #ugandadecides https://t.co/lelphn866a
11515,understand museveni arrested uganda election winner ? someone pls confirm . #ugandadecides
11516,"#ugandadecides , pray pple ug voting concludes ."
11517,let swear musevini already #ugandadecides
11518,"enough airtime one ! need go take nap , think . let take break & #bones #ugandadecides https://t.co/7outaozvuh"
11519,voted . . . ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? #ugandadecides
11520,@sulakam great ban's ineffective . point #museveni wrong ban #socialmedia #musevenidecides #ugandadecides #media
11521,"4 / 5 : far , government @kagutamuseveni deployed sec force heavy weaponry city street free , fair #ugandadecides"
11522,@ugandaec expected address press conference commission's headquarters shortly . #ugandadecides
11523,"polling station approx 30 k m kla , polling material arrived #ugandadecides"
11524,"thank god kenyan hate happening real dictatorship social medium arrest electricity , next ? ? #ugandadecides"
11525,time money . money power . power corrupts eventually . - b . . b #ugandadecides
11526,foreign election observer beaten taking picture polling station ntungamo . sad . #ugandadecides
11527,@kagutamuseveni understand word democracy #ugandadecides
11528,ec chairman badru kigundu resigns election malpractice . detail follow . . . . . #ugandadecides
11529,. . . pre-ticked ballot paper among not-so-encouarging incident . #ugandadecides . https://t.co/0glukfgvpm
11530,m7 say social medium used spread lie . #ugandadecides https://t.co/1inbneftzo
11531,support cause candidate ? want change you're destroying voting material ? ? ? ? ? #ugandadecides
11532,uganda decides . . . full moon rise ð ? ý ð ý ? ð ? ý ð ý  #ugandadecides
11533,new vpn specialist : deep web joke lose dime gallivanting . #ugandadecides
11534,literally grab popcorn #ugandadecides
11535,social medium shut . . vote fraud exposed . . opposition winning . . opposition arrested . nope . . nothing see . - _ - * sigh * #ugandadecides
11536,newsin : case vote-rigging amuru #ugandadecides
11537,rubaga kabuusu polling station besigye ( 369 ) m7 ( 90 ) . vote counting still ongoing right . #ugandadecides
11538,we've well #ugandadecides #musevenidecides https://t.co/asxamfmoo4
11539,retweeted ntv uganda ( @ntvuganda ) : dr . kizza besigye arrested #ugandadecides
11540,"police spokesman : "" holding dr besigye safety . fear might crushed death supporter "" #ugandadecides"
11541,"#nrm online militia affected govt ban @twitter , #facebook & #whatsapp , #fdc actively churning result #ugandadecides"
11542,"3 / 5 : far , government @kagutamuseveni detained / arrested leadership opposition free , fair #ugandadecides"
11543,. @sankyboi @iambegumisa @kizzabesigye1 arrest ; stormed police call centre claiming ' rigging centre ' #ugandadecides
11544,15 : 52 pm voter polling station tell police take voting material back kansanga - - refuse vote #ugandadecides
11545,"$ every time besigye arrested , would rich . #ugandadecides"
11546,"2 : 40 pm still havent started voting . transparent box delivered , even sure ballot . #kansanga #ugandadecides"
11547,@ajenglish need change 30 year enough . #weneedchange #ugandadecides
11548,@mtnug denies ugandan it's #mobilemoney service & proceeds advertise aggressively #ugandadecides https://t.co/xfqi5wg6uv
11549,@primagaba panicking ? #ugandadecides
11550,provisional result @ namata ( kic-l ) museveni : 110 besigye : 252 others : 0 #ugandadecides
11551,uganda shuts social medium election day @cnni https://t.co/tsq0j8h719 #ugandadecides
11552,#ugandadecides despite social medium block 2016 election https://t.co/4lold2jdxz
11553,#ugandadecides despite social medium block 2016 election https://t.co/mn3s0soio1
11554,#ugandadecides despite social medium block 2016 election https://t.co/samzhwresr
11555,"opposition candidate @kizzabesigye1 said arrested election day , taken unknown location https://t.co/rn5wyp0q2t #ugandadecides"
11556,ec & ucc . . . joke . . decided . #ugandadecides
11557,#ugandadecides despite social medium block 2016 election https://t.co/p8vyiud9ts
11558,#ugandadecides despite social medium block 2016 election https://t.co/5z2yn0s30c
11559,#ugandadecides despite social medium block 2016 election https://t.co/jfgcmgvn8g
11560,#ugandadecides despite social medium block 2016 election https://t.co/q3mvjobvke
11561,#ugandadecides despite social medium block 2016 election https://t.co/chne4r8e8e
11562,calculating average district iq result #ugandadecides
11563,"ucc , ec , kairuha , museveni updf commander worse kony amin combined #musevenidecides #ugandadecides"
11564,@rggoobi @pbusharizi fit right narrative ð ? ¸ ð ? ? #ugandadecides
11565,"internet intelligence knowledge awareness tested blocking social medium , #ugandadecides pick proxy connection"
11566,google doc polling station data whoever's looking verify incoming result ! ð ? ¸ ð ø ? ð ? ý ð ? « #ugandadecides https://t.co/nxxjyuntue
11567,"#tnr #ugandadecides [ photo ] : woman mp buikwe district , judith babirye cast vote earlier today cc . @newvisionwire https://t.co/mulq9fmzq4"
11568,#ugandadecides : uganda opposition candidate besigye arrested alleging rigging ( photo ) https://t.co/lowusf179n
11569,besigye arrested counting vote continues . #ugandadecides
11570,"happening uganda blatantly criminal , even election ? #ugandadecides"
11571,"2 / 5 : far , government @kagutamuseveni delayed / closed poll area nrm unpopular free , fair #ugandadecides"
11572,hasn't tallying exercise started since preliminary result ? #ugandadecides https://t.co/y3laudjxox
11573,solution sleep ! teamnosleep gyemuli ? #ugandadecides #ugandaelections https://t.co/ughsrobjwu
11574,opinion like nose @henryshaykins - hope change belief #peacefirst #ugandadecides https://t.co/ay0w9goqb8
11575,#ugandadecides luzira ballot paper taken mbale
11576,we're self defeating ugandan sometimes . . would destroy already supplied ballot box ? #ugandadecides
11577,"final result polling station : besigye - 957, museveni - 439, voter departing peacefully #ugandadecides #lchoosepeace"
11578,@ajenews museveni must step immedeately stop intimidation . never peace without justice . #ugandadecides
11579,"apps mobile architecture africa connects really vulnerable censorship , surveillance , tracking . #ugandadecides"
11580,"hidden treasure pri . sch . compound wanyange , jinja result : kizza besigye = 651, museveni = 554 #ugandadecides"
11581,kizza besigye arrested #ugandadecides https://t.co/wiomim39sm #musevenidecides @tuko_co_ke https://t.co/dlffi7dgut
11582,kizza besigye arrested #ugandadecides https://t.co/5xcgkezhex #musevenidecides @tuko_co_ke https://t.co/pi84kqkryh
11583,rate . . . sevo shut tv . he floored ! ! ! #ugandadecides
11584,"mock result , @kizzabesigye1 would teacher's fav . others would enjoy mabanda #ugandadecides #ugandaelections"
11585,7 : 55 pm @ugandaec expected address press conference commission's headquarters shortly . https://t.co/6vldnzrkby #ugandadecides
11586,people work campaign like #iamsouganda #ondaba #visituganda long destroy tourism effort 3 mad day #ugandadecides
11587,#ugandadecides know it's still long shot bt believe ec badru kiggundu ' greatest test integrity far .
11588,watching #ugandadecides afar . sad see m7 using old arrest opposition game
11589,god country # ugandadecides
11590,uganda delay ' absolutely inexcusable ' : obasanjo https://t.co/viwsrn0hl4 via #ugandadecides
11591,@twinoemma @aseanice least lesson taught . #ugandadecides joking subject !
11592,retweeted samira sawlani ( @samirasawlani ) : today #ugandadecides - voting & vote counting ( candle ? ) light . . . https://t.co/j8lc2pmsle
11593,@kizzabesigye1 wining half reporting result #ugandadecides #ugandaelections #besigyewon
11594,"work , reading update uganda ought #ugandadecides"
11595,"feb 18 th 2016, day ugandan geek could access facebook , twitter whatsapp . #ugandadecides"
11596,"released "" besigye "" #ugandadecides"
11597,rasta liberate uganda . #ugandadecides #musevenidecides
11598,african leader always disgrace themselve bn power drunk . let allow democracy peace prevail . #ugandadecides
11599,"1 / 5 : far , government @kagutamuseveni shut social network free , fair #ugandadecides"
11600,#ugandadecides 5 polling station mbalwa besigye 1256 m7 628 @nbstv @ntvuganda
11601,retweeted . ( @omuteso ) : kizza besigye probably arrested ugandan citizen . #ugandadecides
11602,"get formation , uganda ! protect vote president predator ! #ugandadecides https://t.co/1b4kf0qn8e"
11603,wearing blue hood #ugandadecides https://t.co/txd3jaq468
11604,@ntvkenya day ug kama mahabusu . ati security reason . #ugandadecides
11605,democracy may delayed won't denied ! #ugandadecides #ugandaelections https://t.co/earg6kamgq
11606,#uganda shuts social medium election day @cnni #ugandadecides #ugandaelections #ugandavotes https://t.co/mlqvr2zmbm
11607,"#ugandadecides openvpn , tor , proxy word lot ugandan know thanks @ucc_official mbu blocking twitter , fired guy"
11608,people hold rosary close . taking leopard back jungle #ugandadecides
11609,confirm kb released . #ugandadecides
11610,@comfortchloe . . . #ugandadecides
11611,#ugandadecides #freebesigye officer story tell https://t.co/jstwda4dlc
11612,"provisional result streaming @ntvuganda scroll , flattering least . #ugandadecides"
11613,"look law-abiding , patriotic adult #communitypolicing #peacefirst #ugandadecides https://t.co/ng37xn7jab"
11614,"man utd fan supported mbabazi hype must depressed , memphis depay allover ð ? ¸ ð ? ? ð ? ¸ ð ? ? #ugandadecides"
11615,"guy suffered "" @ntvkenya : kizza besigye arrested police naguru unclear reason #ugandadecides """
11616,b * * * ch please ð ? ¸ ð ?  ð ? ¸ ð ?  @ucc_official #ugandadecides #ugandaelections https://t.co/ht4e6ifyx9
11617,@nickopiyo @chapter4uganda hope u started preparation 2 challenge election #ugandadecides
11618,"waiting winner btw yoweri , kagutu museveni . #ugandadecides"
11619,"@ugandaec let ugandan , performed expected #ugandadecides . shame ."
11620,", much behind politically . look people pushing #ugandadecides , kot @xavi866"
11621,result far show besigye gorit far we'll see straight rigging b #ugandadecides
11622,"people uganda decide , twitter ! "" @ajenglish : uganda's yoweri museveni serve another term ? #ugandadecides """
11623,@kagutamuseveni made loss historic . forget incumbent like moi . arrest next president ? try making people forget #ugandadecides
11624,kenyan need learn mind business let ugandan #ugandadecides
11625,nakasongola b m7 : 5900 kb : 16 others : 0 * start saving swearing ceremony suit * #ugandadecides
11626,#besigye arrested ? ? #ugandadecides
11627,hope guy @kateregga1 & @steven_bukulu already voted wait result . #ugandadecides
11628,#ugandadecides museveni still president . . . regardless . democracy lullaby .
11629,@ntvkenya #ugandadecides uganda done best change leadership bt oldman decided give another rap
11630,it's getting unpredictable . #ugandadecides
11631,amb malac : visited several polling site today kla . important every citizen want vote opportunity . #ugandadecides
11632,result coming . . . #ugandadecides https://t.co/1rggpybqxs
11633,namirembe church polling station besigye 129 m7 121 #ugandadecides
11634,. @dok720 update please #ugandadecides https://t.co/xxwyyprxqc
11635,#iwillnotbesuprised @ukenyatta congratulates #museveni re-electing office despite massive electoral fraud #ugandadecides
11636,need hear result hoima masindi ! guy cordoned resource land . . . #ugandadecides
11637,"comrade #uganda , electoral process thus far ? #ugandadecides #ugandaelections #ugandavotes"
11638,"delay delivery voting material absolutely inexcusable , say ex . nigerian president obasanjo #ugandadecides"
11639,"@kenyapower_care , there's sickening power blackout tena-donhom estate time following #ugandadecides & #musevenidecides"
11640,"dear fellow youth , please leave official announcement result @ugandaec ' kiggundu . stay calm , peaceful wait . #ugandadecides"
11641,"right sens , besigye uganda's next president #ugandadecides otherwise , war"
11642,& @kagutamuseveni also edge one ! #ugandadecides ! https://t.co/n2ni9meevb
11643,welcome 21 st century folk past retirement running thing @ucc_official #ugandadecides https://t.co/vb340yw9ip
11644,well said #ugandadecides #musevenidecides ! ! ! !
11645,#iwillnotbesuprised @ukenyatta congratulates #museveni re-electing office despite massive electoral fraud #ugandadecides .
11646,save best 4 last doesn't work #ugandadecides ebu eat #chicken might come 4 ð ? ¸ ð ? ? ð ? ¸ ð ? ?
11647,somebody get dictionary . need understand #security . . . #ugandadecides https://t.co/pxp9l41lrk
11648,""" @ntvkenya : kizza besigye arrested police naguru unclear reason #ugandadecides "" ati . . . hehehe ."
11649,"nothing , aloga aloge . #ugandadecides"
11650,it's full moon ! #ugandadecides https://t.co/ixlsxn19ef
11651,@ 933 kfm #ugandadecides great job guy atleast u stuck kampala like others
11652,"guess entering history book "" hardest-to-rig "" election world ! #ugandadecides"
11653,apparent #uganda-n govt wary result might favour pres ? jittery act show behind scene chaos #ugandadecides
11654,"clarity , wat time ec announcing rt . col . kiiza besigye nxt president uganda . . . haha . . nwe jst #ugandadecides"
11655,think @nwscug next rate #ugandadecides
11656,removed power . it's getting really weird . 1 st social medium power @umemeltd @ucc_official @ugandaec #ugandadecides
11657,@umemeltd please explain sudden power blackout #ugandadecides
11658,kale kayihura today ? ? ? silence loud ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? #ugandadecides
11659,don't worry . change coming . #ugandadecides https://t.co/r8b8grp0fd
11660,"#tda got "" right "" . @jmnkangi @dzniringiye @goforward2016 performing miserably best ! ! #ugandadecides"
11661,#ugandadecides : u embassy uganda condemns social medium ban https://t.co/2cjpyemuf7
11662,@charlay1102 respect #ugandadecides
11663,we'll consider upe bonus u . thank nrm . #ugandadecides https://t.co/oqe8t9mw5s
11664,it's sad day #internetfreedom #information #freedomofexpression - #ugandadecides #socialmedia https://t.co/umy69tbwyb
11665,"social medium blocked ug election day stop ppl ' telling lie ' , according museveni . uh-huh . #ugandadecides https://t.co/m8ivsdmlma"
11666,"mabreezy doesn't come ahead amama , i'll know election rigged #ugandadecides"
11667,museveni ballot mentioned crowd boo besigye turn everyone jump joy #ugandadecides
11668,goodness . tentative result getting excited ! #ugandadecides #yeschange
11669,"#ugandadecides i've got 4 word . . . . thank god kenyan , happening uganda democracy @kipdemas @kshitemi @skawd"
11670,@redpepperug ambassador concern braking news ! namwe temutukooya ! ! #ugandadecides
11671,kizza besigye arrested police naguru unclear reason #ugandadecides https://t.co/3vxsnrlshk
11672,presidential provisional result trickle counting vote continues uganda . #ugandadecides #ugandaelections #musevenidecides
11673,uganda . today . #ugandadecides https://t.co/dj80nozmja
11674,supposedly winning poll arrested ! guess protect new president leopard ! #ugandadecides
11675,still seated standby @ugandaredcross ready give emmergency response #ugandadecides #ichoosepeaceug #ugandaelections
11676,thuggery . #ugandadecides https://t.co/kalbev6oki
11677,@missnantongo @d_zhowoff go > > https://t.co/yfaaifzide #ugandadecides
11678,topowa . honour ur vote . ur ballot ur voice . ur ballot tool 4 democracy . ur vote count . thn ballot ha ha #ugandadecides
11679,"#ugandaelections #ugandadecides tyt race , go anyway besigye's advantage make sevo get le 50 %"
11680,hell ! @ugandaec one job ! #ugandadecides https://t.co/cldlabbbqe
11681,happening guy ? #ugandadecides
11682,"party uganda's main opposition candidate , kizza besigye , say arrested . #ugandadecides"
11683,@geoffreyyork won't surprise supporter #besigye clash security soon . crackdown likely . #ugandadecides #kampala #uganda
11684,arrest opposition party member ? #ugandadecides https://t.co/pi2vq50vzo
11685,know back ground check & u ar asked give & history arrest . . well kb probably 50 page #ugandadecides
11686,"true , police arrest opposition leader uganda election say ? #ugandadecides"
11687,@miss__hussein @nicolemagabo @teamsevo @kagutamuseveni @kizzabesigye1 almost everyone voted ð ? ¸ ð ? ? #ugandadecides
11688,wen u watch utter amazement ug govt set case study govt shd conduct pr . . . bravo ! #ugandadecides
11689,"kizza besigye currently held kasangati police station , erias lukwago released . earlier arrested naguru #ugandadecides"
11690,parody account ? ? ? exactly happened . social medium shut #ugandadecides . cc @doubleeph https://t.co/mgpqsilkto
11691,kb leading everywhere #freebesigye #ugandadecides
11692,mubende outdone ! chosen @kagutamuseveni #ugandadecides https://t.co/0yz3nvvhhs
11693,"#ugandadecides , besigye arrested uncovering rigging centre"
11694,opposition leader @kizzabesigye1 arrested say there's vote rigging happening - much free & fair election . #ugandadecides
11695,make 3 u . re-read directive help sleep tonight #peacefirst #ugandadecides https://t.co/lvwtqsrur7
11696,aaaaarggggh ! talk ! amama get 1 2 vote polling station ? ! ! ! ! #ugandadecides
11697,"anyone eye & ear karamoja , please share preliminary result @ntvuganda @nbstv #ugandadecides"
11698,crowd pushed polling assistant le 2 screaming everytime besigye name mentioned #ugandadecides
11699,finally . . . . . . . . . human right speaks #ugandadecides https://t.co/hq1obq5ady
11700,excuse . . . opposition leader arrested election day social medium blackout ? #ugandadecides #suspicious https://t.co/65uzlxqffx
11701,kizza besigye arrested naguru alleging vote rigging taking place . #ugandadecides
11702,waste tax payer money incumbent ready frustrate chance free fair election #ugandadecides
11703,calling love arua slowly slowly #ugandadecides
11704,hoping ugandan made right choice #ugandadecides #ichoosepeaceug
11705,"yowa time . take street , pull #lwili m7 . #ugandadecides https://t.co/loblcn7wol"
11706,@mtnug stupid would u 2 2 advertise mobile money day u shamelessly switched entire country ! #ugandadecides
11707,"polling station kikaaya , besigye lead . . . #ugandadecides"
11708,"anybody try announce result long electoral commission , shall dismantle - museveni #ugandadecides"
11709,retweeted chimpreports ( @chimpreports ) : breaking : @kizzabesigye1 arrested #ugandadecides https://t.co/4isnmz3fba https://t.co/hawnixjeom
11710,@933kfm wonder average number voter per polling station average #ugandadecides
11711,#tnr #ugandadecides [ photo ] : h . e @kagutamuseveni & daughter patience kaaro high sch polling station earlier ! https://t.co/nfwa1ufziu
11712,@kizzabesigye1 win butabika hospital ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? even mentally sick want spare #museveni #ugandadecides
11713,mt @chimpreports : @kizzabesigye1 arrested #ugandadecides
11714,"beautiful land , uganda . beautiful peaceful . #ugandadecides"
11715,"@usmissionuganda something ! call dictator , ugandan tried come govt trying ignite fire . #ugandadecides"
11716,go ! ! #ugandadecides @salima_sn @fiorikiriza @arkwesi @sapserugo #uganda https://t.co/skl54awnes
11717,ugandan ! i'm hearing many zero 6 candidate #besigye topping & #m7 coming 2 nd . waiting final . #ugandadecides
11718,despite pain intimidation #uganda outlive democratic pain #ugandadecides https://t.co/ielksvkjqh https://t.co/rnzpdc80uw
11719,lol . . can't ! #ugandadecides https://t.co/owyplouvwv
11720,@mugumya ug imported propaganda protagonist northkorea seems #ugandadecides
11721,eh eh . . #ugandadecides . . . know guy help u . bad fibre couldn't cut well . . hihi . . may @kizzabesigye1 win .
11722,want peace violence #ugandadecides
11723,"end , made statement . waited , peaceful , firm resolute demanding change deserve . #ugandadecides"
11724,stupidity #museveni ec uganda cannot happen kenya . . . never ever #musevenidecides #ugandadecides
11725,provisional result @ rushere primary school bwanika museveni : 760 besigye : 2 others : 0 #ugandadecides
11726,"evidence rigging ryt yo face , god help uganda . #ugandadecides @generali_byanjo @cissy_a @bbcbreaking https://t.co/vc7flpogeh"
11727,@like_a_gem ewedde #ugandadecides
11728,#ugandadecides #ugandaelections poll closed 19 h00 per announcement . ð ? ¸ ð ? ?
11729,blocking people ? ? ? right commun important day sends wrong message ugandan #ugandadecides #ipledgepeaceug
11730,dare arrest president #ugandadecides
11731,"ugandan opposition leader kizza besigye arrested capital , kampala . #besigyearrested #ugandadecides #ugandaelections ~ bbc"
11732,"cont'd : dish , get password umeme take power . wi-fi . #ugandadecides"
11733,"dear #uot earily lead equal victory , guard vote . #ugandadecides @robertalai @phil_254 https://t.co/xi55j0gcum"
11734,", circumstance , relinquish power . . . ð ? ¸ ð ø ? arrest besigye ! #ugandadecides #musevenidecides"
11735,counting underway #ugandavotes #ugandadecides #uganda https://t.co/hzitvqsog3
11736,"besigye - "" museveni want president life , waste taxpayer ' money organizing shum election ? "" #ugandadecides"
11737,think it's time start appealing armed force uganda listen . people pledged serve speaking . #ugandadecides
11738,@ntvkenya @vickyrubadiri social medium help express ; kinda feel incognito #ugandadecides
11739,imagining #raila arrested election day . lake victoria become flammable day #ugandadecides #musevenidecides
11740,clearly polling station people didn't give even single fuck election today . ð ? ¸ ð ? ¥ #ugandadecides https://t.co/65bhmypjfa
11741,panic level 101 % #ugandadecides https://t.co/jzquvsbxai
11742,sound like ! #ugandadecides https://t.co/l0z600jc56
11743,museveni fraud disgrace ugandan humanity #ugandadecides https://t.co/ev7rvsx0yp
11744,"yoweri museveni's profile , soon add "" vote rigging "" resume #ugandadecides https://t.co/7jgjrxeq2l"
11745,"breaking : presidential candidate dr kizza besigye arrested police naguru , kampala . #ugandadecides"
11746,sure @kagutamuseveni circumcised coward . #ugandadecides #musevenidecides
11747,shame @kagutamuseveni . . ! can't allow @kizzabesigye1 . . ? barbaric act violence satanic . . ! #ugandadecides
11748,wonder many swing vote went blue frustrated @ugandaec incompetence #ugandadecides
11749,#gonearethetimes vote count dr . kizza besigye arrested . #musevenidecides #ugandadecides
11750,"#uganda , country world #twitter blocked it's still trending . can't hidden . #ugandadecides"
11751,#ugandadecides qn win president . yoweri b . kaguta c . museveni . https://t.co/5f50btq7zn
11752,@dailymonitor @kagutamuseveni wonder average number voter per polling station average #ugandadecides
11753,rt @winnie_byanyima : candidate @kagutamuseveni charge electoral process ? #ugandadecides https://t.co/1sgxzks2xt
11754,"hey western activist , show support south . read going #ugandadecides support democracy ! #solidarity"
11755,ugandan mock attempt censor online activity https://t.co/gs2m9ultmy via @bbcnews #ugandadecides
11756,well said ! #musevenidecides #ugandadecides https://t.co/liye7turl8
11757,#iwillnotbesuprised #musevenidecides kenyan leader first congratulate . #ugandadecides
11758,besigye given personal police cell . #ugandadecides
11759,"right , can't fault #chelseahandler ! #ugandabekiddingme #ugandadecides #ugandaelections #ugandavotes #rigginginprogress #kitalo !"
11760,"yet uhuru africa , government arrest opposition leader day election ? #freebesige #ugandadecides"
11761,kb arrested #ugandadecides #ugandaelections https://t.co/gz65npeqbp
11762,@ntvuganda guy ' ec ' hav preparing long let tell u sense #ugandadecides
11763,"#ugandadecides main opposition challenger dr . kiiza besigye arrested . answer , even police ."
11764,time #ugandadecides https://t.co/gq6n2gm1oj
11765,way go #ugandadecides #ugandalearntvpn https://t.co/8zybpetmi9
11766,naffe abatawagila fdc yearn change voted swagger . #ugandadecides ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ð ? ¸ ð ? ?
11767,spoken election observer fort portal said voting peaceful fair #ugandadecides
11768,let u publish result online . #ugandadecides
11769,besigye winning military baracks isn't evidence enough want change ? #ugandadecides #ugandaelections
11770,@rosebellk @enamara @tmsruge @geraldbareebe statistic interesting #ugandadecides
11771,"african election like armageddon . uganda , ? ? ? finish well ! may win ! #ugandadecides"
11772,#ugandadecides : besigye demanded police open house upon arrested https://t.co/gxzyeiagil
11773,"kyanja quaran primary school polling station mzee 716 dr . kizza 1,559 vote #ugandadecides"
11774,breaking : ugandan presidential candidate kizza besigye arrested #ugandadecides https://t.co/tbpalwufvt
11775,today @mizzflav . . . make till saturday night #ugandadecides https://t.co/kgmchm9u3q
11776,@tygo21 people worked morning bad day wtf . #ugandadecides
11777,today #ugandadecides - voting & vote counting ( candle ? ) light ( image = @mutenyo_p ) https://t.co/ick1p6d2lq
11778,jinja decided source nile blue turn yellow . besigye take jinja district . #ugandadecides
11779,#ugandadecides . need help https://t.co/j31dqqggpb
11780,"hav 2 wait 6 hour late 2 vote , hopefully ec wont hav delay announcing real winner . #ugandadecides"
11781,#freebasics vulnerable censorship ? govs target social medium network . facebook whatsapp blocked #ugandadecides
11782,#publichospitals #uganda inoperable defunct . #kitgum hospital one . #ugandadecides @ariongm https://t.co/pa432pieil
11783,calm let vote decide #ugandadecides
11784,"@kizzabesigye1 left agent monitor th election , ama doesnt agent ? #ugandadecides @josphatnjogu @kariukimuiruri1"
11785,"people cast vote ? ? ? decide election , people count vote . #ugandadecides #musevenidecides"
11786,"bunamwaya , happening . . . smile margin #ugandadecides #ugandaelections #besigyewon https://t.co/zsr9qhclny"
11787,"#ugandadecides , ugandan continue posting provisional result social medium"
11788,believe democracy . believe freedom speech . use surfeasy #vpn unblock facebook whatsapp uganda . #ugandadecides
11789,steve harvey spotted airport heading uganda final election anouncement . #ugandadecides https://t.co/zwnlubejqi
11790,today voting day vpn awareness day uganda . #ugandadecides
11791,besigye must listening convict music . #ugandadecides
11792,ec 1 job every 5 year yet still manage screw ! ! ! #howly #ugandadecides
11793,missing : bot #ugandadecides
11794,knew people would let #ugandadecides https://t.co/rlq0dv9qvc
11795,@kagutamuseveni must ashamed . #ugandadecides https://t.co/wkf0ayz1yz
11796,"home polling station , @kagutamuseveni get 726, besigye 2 others 0 #ugandadecides https://t.co/3qi9akb9f5 https://t.co/lgsbu5ixhb"
11797,really need look @enamara @tmsruge 700 voter kiruhura #ugandadecides https://t.co/vopqrefz8c
11798,two invalid vote far . one blank . one voter ticked photo box provided . #ugandadecides
11799,@comfortchloe like citizen must vigilant & awake machination #ugandadecides
11800,kizza besigye uganda's arrested citizen . welcome @uberfacts . #ugandadecides rather #musevenidecides
11801,"namugongo mixed polling station , m7 got 146 n besigye 275 . #ugandadecides"
11802,@gatonga02 remember saying uganda election decided long time ago . . voting formality #ugandadecides
11803,presidential candidate kizza besigye arrested ? @kizzabesigye1 #ugandadecides
11804,@ugandaec explain . assured ugandan leakage . could pure incompetence #ugandadecides https://t.co/zinmco6jax
11805,#ugandadecides besigye's arrest come official fearing lose job police .
11806,"glued twitter feed #ugandadecides discussing today's "" election . "" https://t.co/3mylplmyjy"
11807,besigye arrest breakin else new besides vpn ? #ugandadecides
11808,#ugandadecides information flow limited internet @wef politics affect economy world
11809,""" lose election organized ? "" museveni comment ruling party lost election zambia #ugandadecides"
11810,exit poll trickling . . . #ugandadecides
11811,every polling station arua #ugandadecides #ugandaelections #besigyewon https://t.co/u6lwzlrxi9
11812,number people discouraged turned back delayed ballot paper box . smh . #ugandadecides
11813,following #ugandadecides diaspora still make worthwhile https://t.co/crswcvrvdg
11814,? ? ? ð ? ¸ ð ø  ð ? ¸ ð ø ? ? ? ? ð ? ¸ ð ø  ? ? ? don't get twisted @01eslie @thee_nesta @aolaro_noddie @tigohdtrickemmi #ugandadecides
11815,else constantly twitter diaspora ? #ugandadecides
11816,#ugandadecides : besigye & erias lukwago stormed house allege vote rigging taking place https://t.co/4i50cviolm
11817,amb malac : blocking people ? ? ? right communicate important day sends wrong message ugandan #ugandadecides #ipledgepeaceug
11818,presidential provisional result trickle counting vote continues uganda . #ugandadecides #ugandaelections #musevenidecides
11819,hearing besigye arrested . maybe early result good ? increased tension ground #ugandadecides
11820,@nbstvon scale 1 - 10 give u guy 8 coz u're competition going thru emotion election . #ugandadecides #ugandalearntvpn
